Y,Y_rf,Y_close
882.0,859.8436070714754,889.05
890.0,877.386390541402,888.99
889.76,888.357863491002,929.5
928.05,889.5078275513704,924.0
923.0,922.652235687303,932.7
934.72,929.4568534223419,932.75
932.61,932.1642481746685,946.7
950.5,936.902651935759,955.0
957.89,946.0673652444606,950.2
948.2,955.0295181453862,957.6
961.0,957.0107392130421,956.71
957.2,957.2668686394088,954.84
952.3,958.5229010749371,955.89
956.25,956.3717444991883,955.14
958.0,957.0315044005553,959.22
962.99,957.3954713814051,962.0
959.5,959.3273947615693,945.0
939.6,963.0020180289691,951.49
955.0,947.2548728684735,954.5
958.0,951.5281399019992,963.64
967.42,957.5109894409371,970.69
972.45,964.2051506574187,977.67
980.0,972.0099456384044,993.0
991.1,968.0731730016876,992.4
992.45,992.6163918336583,996.5
996.01,996.0073238831856,987.09
990.0,997.0757677972701,988.29
992.0,992.525101039381,994.85
996.5,993.4947211720141,1003.85
1002.44,998.1288244038291,997.88
1001.0,1001.8783711623339,1001.75
1005.54,1004.3508874645444,1004.0
1005.06,1003.8917999425717,971.15
960.0,1002.1859716176612,961.81
967.05,972.5643885723399,971.48
974.49,962.0591122965552,963.0
954.55,972.2845905810254,960.18
962.0,963.610005213061,958.75
969.0,960.6800023007095,976.85
977.8,960.0285628861981,968.99
969.05,977.8420057742768,978.59
979.5,975.6663701211418,977.85
976.44,979.6689817146857,986.96
989.2,980.8223411436936,974.95
960.1,984.5308583357993,951.0
944.5,975.2657568573536,961.88
961.0,958.1109644384419,936.13
939.01,955.0001029872047,928.41
934.0,935.047983331717,919.46
916.31,928.2704792206666,931.63
928.0,925.0415460701105,928.0
932.5,932.5979066788188,940.81
945.72,930.2699308326497,950.0
951.0,941.8104308580432,948.41
956.5,950.6083934200075,969.75
971.0,952.0828341345739,968.3
970.7,970.755588243403,978.18
980.0,971.3049051367256,980.2
976.01,977.8832191924894,987.94
989.48,980.7376858563131,993.6
995.92,988.8021812888516,992.19
991.97,993.9569412836308,993.19
992.4,992.5852887157384,969.0
972.5,992.2299463926981,969.0
972.0,968.5120903168369,967.5
970.0,969.6969968453408,952.51
947.69,967.9269216907929,956.65
962.0,955.7956466189689,944.07
949.21,950.811287538252,951.0
949.43,948.7363064795287,947.64
947.64,950.4518074218727,939.26
943.98,944.398169213831,945.79
945.7,945.6594601815019,945.2
944.6,943.686999833523,940.02
940.1,946.0131032341227,940.49
941.99,941.7950518526387,921.5
919.46,939.949946356311,929.97
937.1,926.3790642031967,937.51
941.0,932.0506632202698,937.06
942.5,941.7897537380288,942.98
942.0,941.16711021871,928.0
928.31,943.8890476670564,925.45
925.78,927.1364098649243,922.5
926.39,926.1484998519636,941.2
941.31,925.5712920558296,941.87
944.21,942.5576549305332,937.01
940.69,942.7283811814586,930.7
930.34,936.771194233796,923.1
917.2,930.9541211805459,935.9
938.0,930.2120791746489,943.63
946.0,937.5875485327,955.3
958.15,944.7095961884152,952.77
953.95,955.0636310531758,943.25
942.0,953.3486620354058,941.11
945.64,945.4784698231941,949.54
949.49,941.7982590480472,942.0
945.36,948.4683656316626,943.23
946.19,945.9087868897727,946.65
945.89,947.4462441887913,950.5
950.0,947.5727374788778,937.0
942.0,947.5598294259054,935.69
937.1,937.1165985236372,929.31
931.5,936.2040494473129,936.86
939.79,933.0664402290254,946.01
947.99,938.001191801508,945.27
943.75,942.5364814282345,944.0
940.0,943.8707603456963,933.8
936.22,945.0027781381058,937.0
941.89,934.2612989690597,960.0
960.9,940.9294088295137,964.81
968.8,961.8670931942537,974.0
976.0,965.9352513844188,967.47
967.71,972.5421899182533,972.15
971.76,974.3204251746976,967.77
968.68,971.3592691118508,984.81
987.3,974.2338878741596,993.31
993.95,986.6198006035712,992.32
992.53,991.1670447713597,987.8
989.07,993.3264032202173,1005.49
1005.65,991.8643301964838,1006.29
1009.84,1007.3621435857145,1009.71
1010.0,1009.5993468720959,1008.63
1007.02,1010.8812782763288,1010.04
1012.5,1010.6989695687048,1012.35
1009.4,1011.3978846498268,1001.84
1004.5,1013.2273175667948,1005.25
1006.04,1006.3195570850896,986.98
988.0,1006.4604944876966,988.49
986.8,986.8417772627226,993.99
995.0,989.4545650086255,1019.0
1018.0,995.2586050648638,1035.1
1032.65,1021.8394339219009,1031.03
1034.0,1036.9512254368599,1032.8
1037.34,1031.7323568929905,1039.38
1040.0,1037.1953217373898,1043.94
1045.0,1041.5087147456372,1047.9
1049.55,1045.0352850549527,1043.5
1044.52,1047.0621741359382,1052.85
1052.25,1048.3350061154747,1058.29
1053.36,1053.048008223977,1047.82
1045.0,1059.593132520344,1043.99
1042.96,1046.025472510822,1039.69
1040.75,1044.8583409846435,1041.64
1034.0,1040.3476764200045,1037.9
1043.25,1042.4887768174844,1047.97
1050.2,1040.1380837319691,1034.21
1035.65,1048.496820852045,1034.66
1038.82,1040.1340778872257,1049.25
1052.3,1038.0527684335561,1051.92
1054.25,1050.6317266330213,1055.0
1059.49,1054.5742107214207,1072.01
1074.69,1058.6139783430826,1061.89
1063.0,1065.427195648906,1037.26
1043.79,1062.2305020989716,1036.17
1028.31,1036.6440850544934,1025.0
1028.31,1036.9900486657914,1012.0
1005.0,1025.1260937950435,1020.5
1017.42,1016.8731392864456,1035.68
1035.83,1026.056735823578,1045.07
1049.48,1037.325400466377,1048.11
1053.66,1046.4029511456163,1051.97
1053.99,1053.6288105413155,1048.01
1050.95,1051.408696038429,1051.39
1053.38,1052.1396106647337,1055.0
1051.39,1052.611383053071,1071.0
1077.0,1060.907626640352,1085.09
1085.35,1072.7700185736671,1077.0
1081.0,1082.3236176632731,1073.56
1074.98,1077.583314295545,1070.85
1070.51,1074.2485464831861,1068.86
