Date,Open,High,Low,Close,Volume,SP500,ADS_Index,Returns,Mkt-RF,SMB,HML,RF,Average_OC,Average_all,O-C,H-L,open_tmr,close_tmr,logVol
2017-07-24,992.4,1020.05,964.0,969.0,25675,2469.91,-0.216638776174255,0.0016616318540528321,-0.03,0.12,-0.2,0.004,980.7,986.3625,23.399999999999977,56.049999999999955,972.5,969.0,10.15327303479676
2017-07-25,972.5,976.73,963.8,969.0,42321,2477.13,-0.224598587242101,0.004487592245000883,0.38,0.37,0.92,0.004,970.75,970.5075,3.5,12.930000000000064,972.0,967.5,10.653038695742612
2017-07-26,972.0,973.95,960.23,967.5,15276,2477.83,-0.23282441650381,-0.029768246227094296,-0.06,-0.36,-0.7,0.004,969.75,968.4200000000001,4.5,13.720000000000027,970.0,952.51,9.634038248345407
2017-07-27,970.0,971.85,937.06,952.51,25226,2475.42,-0.241317333613312,-0.0038463098879026893,-0.14,-0.62,0.45,0.004,961.255,957.8549999999999,17.49000000000001,34.79000000000008,947.69,956.65,10.135630487647138
2017-07-28,947.69,961.79,945.31,956.65,12303,2472.1,-0.250078442955575,-0.01334867507078927,-0.17,-0.06,0.24,0.004,952.1700000000001,952.86,-8.959999999999923,16.480000000000018,962.0,944.07,9.41759841406017
2017-07-31,962.0,962.0,941.72,944.07,16358,2470.3,-0.277835616431465,0.0060915879036277905,-0.11,-0.33,0.44,0.004,953.0350000000001,952.4475,17.92999999999995,20.279999999999973,949.21,951.0,9.702472353294919
2017-08-01,949.21,954.49,944.96,951.0,9186,2476.35,-0.287506580644971,-0.013478315937102142,0.24,-0.24,0.18,0.004,950.105,949.915,-1.7899999999999636,9.529999999999973,949.43,947.64,9.12543586488574
2017-08-02,949.43,949.75,932.52,947.64,13339,2477.57,-0.297410929024842,0.0011204698709539659,-0.08,-1.18,0.15,0.004,948.535,944.835,1.7899999999999636,17.230000000000018,947.64,939.26,9.498447354141044
2017-08-03,947.64,950.0,939.26,939.26,7195,2472.16,-0.306876449444012,0.0011403411568193162,-0.21,-0.33,-0.29,0.004,943.45,944.04,8.379999999999995,10.740000000000009,943.98,945.79,8.881141619321468
2017-08-04,943.98,947.54,939.79,945.79,8519,2476.83,-0.315904372760891,-0.007775738605138854,0.25,0.3,0.36,0.004,944.885,944.275,-1.8099999999999454,7.75,945.7,945.2,9.05005424204284
2017-08-07,945.7,948.96,943.5,945.2,10218,2480.91,-0.340254902972081,0.00582157331191222,0.16,-0.09,-0.6,0.004,945.45,945.84,0.5,5.460000000000036,944.6,940.02,9.231906149890744
2017-08-08,944.6,952.49,940.02,940.02,10146,2474.92,-0.347699849436109,-4.2270319920225524e-05,-0.24,-0.09,0.21,0.004,942.31,944.2825,4.580000000000041,12.470000000000027,940.1,940.49,9.224834818126634
2017-08-09,940.1,946.2,933.92,940.49,9396,2474.02,-0.354987874660331,-0.001650844315307293,-0.14,-0.76,-0.1,0.004,940.2950000000001,940.1775,-0.38999999999998636,12.280000000000086,941.99,921.5,9.148039345778804
2017-08-10,941.99,941.99,920.35,921.5,18402,2438.21,-0.362119926350391,-0.004362423088578584,-1.49,-0.3,0.25,0.004,931.745,931.4575,20.49000000000001,21.639999999999986,919.46,929.97,9.820214633342307
2017-08-11,919.46,933.36,919.0,929.97,11036,2441.32,-0.369096931929762,-0.017696716651697725,0.2,0.24,-0.88,0.004,924.715,925.4475000000001,-10.509999999999991,14.360000000000014,937.1,937.51,9.308917935337176
2017-08-14,937.1,941.04,934.48,937.51,7793,2465.84,-0.388712164101495,0.007013105230423183,1.03,0.26,0.06,0.004,937.3050000000001,937.5325,-0.40999999999996817,6.559999999999945,941.0,937.06,8.96098117384356
2017-08-15,941.0,943.07,936.64,937.06,6767,2464.61,-0.394390682249409,0.009459536895353723,-0.11,-0.85,-0.04,0.004,939.03,939.4425,3.9400000000000546,6.430000000000064,942.5,942.98,8.819813136232225
